Bug编号,所属产品,所属模块,所属项目,相关需求,相关任务,Bug标题,关键词,严重程度,优先级,Bug类型,用例关联,所属环境,重现步骤,Bug状态,截止日期,激活次数,是否确认,抄送给,由谁创建,创建日期,影响版本,指派给,指派日期,解决者,解决方案,解决版本,解决日期,由谁关闭,关闭日期,重复ID,相关Bug,相关用例,最后修改者,修改日期,附件
9264,邦养宝,/养户管理/养户开户,养殖项目2.0,,,养户开户签署协议合同的组织应为服务部的上级核算组织,,一般,3,页面表现与数据输入校验,,,"

<img src=““{15820.png}““ alt=““““ />
",激活,0000-00-00,0,否,,罗洪浪,2021/12/2,主干,黄壁生（金蝶）,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9262,邦养宝,/,养殖项目2.0,,,邦养宝新增养户开户的猪舍信息，补贴项目未带过来,,一般,3,页面表现与数据输入校验,,221环境,"[步骤]


[结果]
<img src=““{15817.png}““ alt=““““ />


[期望]

",激活,0000-00-00,0,否,,林加嘉,2021/12/2,主干,张鹤耀(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9261,邦购销APP,/销售管理/客户拜访,养殖项目2.0,,,【客户拜访】APP输入预计成交率输入95.888，PC端显示为0,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]


[结果]
<img src=““{15814.png}““ alt=““““ />

[期望]
<img src=““{15816.png}““ alt=““““ />
",激活,0000-00-00,0,否,,杨承樑,2021/12/2,主干,邱世平(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9260,邦养宝,/养户管理/养户开户,养殖项目2.0,,,养户开户提交之后单据为暂存状态,,一般,3,页面表现与数据输入校验,,,"

<img src=““{15811.jpeg}““ alt=““““ />
",激活,0000-00-00,0,否,,罗洪浪,2021/12/2,主干,包权（金蝶）,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,张鹤耀(嘉瑞),2021/12/2,
9259,邦购销APP,/销售管理/客户拜访,养殖项目2.0,,,【客户拜访】采购能力：输入99.333，PC端显示为却是  0  。建议只能输入正   整数,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]
<img src=““{15809.png}““ alt=““““ />

[结果]
<img src=““{15810.png}““ alt=““““ />

[期望]

",激活,0000-00-00,0,否,,杨承樑,2021/12/2,主干,邱世平(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9256,邦购销APP,/种猪采购/外部种源场准入,养殖项目2.0,,,【外部种源场准入】新增保存时报错，提交也报错，详见下图,,严重,3,页面控件与业务功能实现,用例内,,"

<img src=““{15805.png}““ alt=““““ />
<img src=““{15806.png}““ alt=““““ />

",激活,0000-00-00,0,否,,张亚群,2021/12/2,主干,邱世平(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,万礼红（信道）,2021/12/2,
9255,邦养宝,/,养殖项目2.0,,,APP新增开户申请评分项字打错了,,一般,3,页面表现与数据输入校验,,其他环境,"[步骤]


[结果]
<img src=““{15804.png}““ alt=““““ />

[期望]

",激活,0000-00-00,0,否,,林加嘉,2021/12/2,主干,张鹤耀(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9254,邦购销APP,/销售管理/车辆备案,养殖项目2.0,,,【车辆备案】皮重，APP端输入的11.333提交，PC端看到的值是11.00；精度丢失,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]
[结果]
[期望]
",激活,0000-00-00,0,否,,杨承樑,2021/12/2,主干,胡建明（金蝶）,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9253,邦购销APP,/销售管理/车辆备案,养殖项目2.0,,,【车辆备案】车辆变更原因不是必填 *,,一般,3,页面控件与业务功能实现,用例外,,"[步骤]


[结果]
<img src=““{15800.png}““ alt=““““ />

[期望]
<img src=““{15802.png}““ alt=““““ />
",激活,0000-00-00,0,否,,杨承樑,2021/12/2,主干,邱世平(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9252,邦购销APP,/销售管理/车辆备案,养殖项目2.0,,,【车辆备案】APP端现在看不到皮重了，,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]
2021-12-2

[结果]
<img src=““{15799.png}““ alt=““““ />

[期望]

",激活,0000-00-00,0,否,,杨承樑,2021/12/2,主干,邱世平(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9251,邦购销APP,/种猪采购/外部种源场信息填报,养殖项目2.0,,,【外部种源场信息填报】1.app填写后传递至云苍穹，“所在分公司”值为空；2.数据缺失情况下，点审核按钮还可以审核成功,,一般,3,逻辑关系与数据处理,用例内,,"<img src=““{15798.png}““ alt=““““ />



",激活,0000-00-00,0,否,,张亚群,2021/12/2,主干,邱世平(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,万礼红（信道）,2021/12/2,
9250,邦养宝,/,养殖项目2.0,,,养户档案提交时必填校验出错,,一般,3,页面表现与数据输入校验,,221环境,"[步骤]


[结果]
<img src=““{15795.png}““ alt=““““ />

[期望]

",激活,0000-00-00,0,否,,林加嘉,2021/12/2,主干,张鹤耀(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9249,邦购销APP,/种猪采购/外部种源场信息填报,养殖项目2.0,,,【外部种源场信息填报】出种计划，未校验所填品种是否重复,,一般,3,页面表现与数据输入校验,用例内,,<img src=““{15796.png}““ alt=““““ />,激活,0000-00-00,0,否,,张亚群,2021/12/2,主干,邱世平(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9246,邦养宝,/养户管理/养户开户,养殖项目2.0,,,养户开户已经录入猪舍结构，提交提示录入猪舍结构不能提交，,,一般,3,页面表现与数据输入校验,,,"

<img src=““{15793.png}““ alt=““““ />
<img src=““{15794.jpeg}““ alt=““““ />",激活,0000-00-00,0,否,,罗洪浪,2021/12/2,主干,张鹤耀(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9245,邦养宝,/,养殖项目2.0,,,养户开户申请中的开户准入评分不等于3个新开养户准入评分的平均值,,一般,3,页面表现与数据输入校验,,221环境,"[步骤]


[结果]
<img src=““{15789.png}““ alt=““““ />
养户开户评分
<img src=““{15790.png}““ alt=““““ />
[期望]

",激活,0000-00-00,0,否,,林加嘉,2021/12/2,主干,张鹤耀(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9243,邦购销APP,/种猪采购/外部种源场信息填报,养殖项目2.0,,,【外部种源场信息填报】1、字段与需规必填差异：系统照片未设置必填；2猪场名称显示不对,,一般,3,页面表现与数据输入校验,用例内,,"<img src=““{15786.png}““ alt=““““ />


<img src=““{15787.png}““ alt=““““ />



",激活,0000-00-00,0,否,,张亚群,2021/12/2,主干,邱世平(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9242,邦购销APP,/种猪采购/外部种源场信息填报,养殖项目2.0,,,【外部种源场信息填报】业务期间应显示下月业务期间，现在显示当前业务期间,,一般,3,页面控件与业务功能实现,用例内,,"<img src=““{15783.png}““ alt=““““ />




<img src=““{15784.png}““ alt=““““ />",激活,0000-00-00,0,否,,张亚群,2021/12/2,主干,邱世平(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9240,公共-猪只变动,/猪只调入单,养殖项目2.0,,,【猪只调入单】金川猪场调入单 保存时候校验锁定机制  但是找不到提示语上的单据---七琴猪场的调出单下推的金川猪场的调入单,,一般,3,逻辑关系与数据处理,,,"[步骤]


[结果]<img src=““{15781.png}““ alt=““““ />


[期望]

",激活,0000-00-00,0,否,,杜林霏,2021/12/2,主干,章征明(外包),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9239,邦购销APP,/种猪采购/外部种源场信息填报,养殖项目2.0,,,【外部种源场信息填报】筛选“猪场名称”时，未根据供应商过滤，而是带出来所有的猪场,,一般,3,页面表现与数据输入校验,用例内,,"<img src=““{15778.png}““ alt=““““ />


<img src=““{15779.png}““ alt=““““ />

",激活,0000-00-00,0,否,,张亚群,2021/12/2,主干,邱世平(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,万礼红（信道）,2021/12/2,
9238,邦购销APP,/仔猪采购/猪苗采购订单,养殖项目2.0,,,【猪苗采购订单】选择[采购合同]/[投苗申请]要求展示多列信息（目前只有一列“单据编号”）,,一般,3,页面控件与业务功能实现,用例外,,"采购订单选择[采购合同]和[投苗申请]只显示一列“单据编号”
1、希望[采购合同]/[投苗申请]显示多列信息
<img src=““{15771.png}““ alt=““““ />



[期望]
<img src=““{15772.png}““ alt=““““ />
",激活,0000-00-00,0,否,邱世平(嘉瑞),胡建明（金蝶）,2021/12/2,主干,徐刚云,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,胡建明（金蝶）,2021/12/2,
9237,邦养宝,/养户管理/养户开户,养殖项目2.0,,,养户开户反审核之后契约锁状态不应该改变，只有删除附件之后状态才变为未签署,,一般,3,页面表现与数据输入校验,,,"



<img src=““{15775.png}““ alt=““““ />
",激活,0000-00-00,0,否,,罗洪浪,2021/12/2,主干,包权（金蝶）,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9236,育肥-养户管理,/养户开户,养殖项目2.0,,,【养户开户】合同签署，传入的值不对，应传入服务部的核算组织。,,一般,3,逻辑关系与数据处理,用例内,221环境,"[步骤]
<img src=““{15773.png}““ alt=““““ />
<img src=““{15776.png}““ alt=““““ />
[结果]


[期望]

",激活,0000-00-00,0,否,,曾能,2021/12/2,主干,包权（金蝶）,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9234,邦养宝,/,养殖项目2.0,,,养户开户，服务部到养户距离字段提交没做必填校验,,一般,3,需求变更,,221环境,"[步骤]


[结果]
<img src=““{15766.png}““ alt=““““ /><img src=““{15765.png}““ alt=““““ />

[期望]

",激活,0000-00-00,0,否,,林加嘉,2021/12/2,主干,张鹤耀(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9230,邦购销APP,/销售管理/仔猪销售合同,养殖项目2.0,,,【仔猪销售合同】操作【明细】的“批次性别”单选字段时，多点几次，会自动多选,,一般,3,页面控件与业务功能实现,用例外,,"[步骤]


[结果]
<img src=““{15762.png}““ alt=““““ />

[期望]

",激活,0000-00-00,0,否,邱世平(嘉瑞),胡建明（金蝶）,2021/12/2,主干,徐刚云,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,胡建明（金蝶）,2021/12/2,
9229,邦养宝,/,养殖项目2.0,,,养户开户申请，省市区没做必填校验,,一般,3,页面表现与数据输入校验,,221环境,"[步骤]


[结果]
<img src=““{15761.png}““ alt=““““ />

[期望]

",激活,0000-00-00,0,否,,林加嘉,2021/12/2,主干,张鹤耀(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9228,邦购销APP,/种猪采购/外部种源场准入,养殖项目2.0,,,【外部种源场准入】附件未设置必填，需求要求必填,,一般,3,页面表现与数据输入校验,用例内,,"<img src=““{15759.png}““ alt=““““ />




<img src=““{15760.png}““ alt=““““ />",激活,0000-00-00,0,否,,张亚群,2021/12/2,主干,邱世平(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9227,销售-交易管理,/上市计划,养殖项目2.0,,,【上市计划】繁殖业务，没有查询到淘汰猪，已经做了出栏,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]
<img src=““{15758.png}““ alt=““““ />

[结果]
<img src=““{15757.png}““ alt=““““ />

[期望]

",激活,0000-00-00,0,否,,杨承樑,2021/12/2,主干,邓文杰,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9226,邦购销APP,/种猪采购/外部种源场准入,养殖项目2.0,,,【外部种源场准入】保存，提交时报错“单据主键id为1的数据不存在”,,一般,3,页面控件与业务功能实现,用例内,,"<img src=““{15756.png}““ alt=““““ />

",激活,0000-00-00,0,否,,张亚群,2021/12/2,主干,邱世平(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,万礼红（信道）,2021/12/2,
9223,邦养宝,/养户管理/意向金,养殖项目2.0,,,所有单据的附件上传都要从苍穹获取附件方案获取,,一般,3,页面表现与数据输入校验,,,"<img src=““{15751.jpeg}““ alt=““““ />


<img src=““{15752.png}““ alt=““““ />",激活,0000-00-00,0,否,,罗洪浪,2021/12/2,主干,黄壁生（金蝶）,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,张鹤耀(嘉瑞),2021/12/2,
9222,育肥-投苗管理,/批次档案,养殖项目2.0,,,批次档案关联栋舍档案未进行组织过滤,,一般,3,页面表现与数据输入校验,用例内,221环境,"[步骤]
<img src=““{15748.png}““ alt=““““ />

[结果]


[期望]
新增批次档案选择栋舍时只带出当前业务单元下的栋舍",激活,0000-00-00,0,否,,芦云海,2021/12/2,主干,黄壁生（金蝶）,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9221,邦购销APP,/种猪采购/外部种源场准入,养殖项目2.0,,,【外部种源场准入】字段“省份”筛选时，查询条件未起作用,,一般,3,页面控件与业务功能实现,用例内,,"

<img src=““{15750.png}““ alt=““““ />
",激活,0000-00-00,0,否,,张亚群,2021/12/2,主干,邓文杰,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,张亚群,2021/12/2,
9217,邦养宝,/养户管理/养户准入评分,养殖项目2.0,,,养户准入评分邦养宝传过来的手机号和苍穹的手机号格式不一致,,一般,3,页面表现与数据输入校验,,,"<img src=““{15744.png}““ alt=““““ />

",激活,0000-00-00,0,否,,罗洪浪,2021/12/2,主干,包权（金蝶）,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,曹建华,2021/12/2,
9216,邦养宝,/养户管理/养户准入评分,养殖项目2.0,,,养户准入评分提交错误提示 需填写业务日期，手机号,,一般,3,页面控件与业务功能实现,,,"<img src=““{15743.png}““ alt=““““ />
[步骤]


[结果]


[期望]

",激活,0000-00-00,0,否,,冯常耀,2021/12/2,主干,付丽华,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9215,邦购销APP,/仔猪采购/猪苗采购订单,养殖项目2.0,,,【猪苗采购订单】拉取合同时，筛选条件没起作用,,一般,3,逻辑关系与数据处理,用例内,,"



<img src=““{15742.png}““ alt=““““ />
<img src=““{15741.png}““ alt=““““ />

",激活,0000-00-00,0,否,,张亚群,2021/12/2,主干,邱世平(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,胡建明（金蝶）,2021/12/2,
9213,邦购销APP,/销售管理/销售去向追踪,养殖项目2.0,,,【去向追踪】详情页面，销售单没有带出来,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]


[结果]
<img src=““{15737.png}““ alt=““““ />

[期望]

",激活,0000-00-00,0,否,,杨承樑,2021/12/2,主干,邱世平(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9210,邦购销APP,/仔猪采购/外部苗源场背调,养殖项目2.0,,,【外部苗源场背调】供苗品种未做重复性校验,,一般,3,逻辑关系与数据处理,用例内,,"<img src=““{15732.png}““ alt=““““ />

",激活,0000-00-00,0,否,,张亚群,2021/12/2,主干,邱世平(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9205,邦养宝,/,养殖项目2.0,,,APP 新增开户申请，猪舍信息新增有展开按钮，没有收缩按钮，返回只能返回到列表界面,,一般,3,页面表现与数据输入校验,,其他环境,"[步骤]


[结果]
<img src=““{15721.png}““ alt=““““ /><img src=““{15722.png}““ alt=““““ />

[期望]

",激活,0000-00-00,0,否,,林加嘉,2021/12/2,主干,张鹤耀(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9203,邦购销APP,/仔猪采购/猪场信息填报,养殖项目2.0,,,【猪场信息填报】app做完的单据提交到云苍穹时，照片未显示出来,,一般,3,逻辑关系与数据处理,用例内,,"

<img src=““{15717.png}““ alt=““““ />


<img src=““{15716.png}““ alt=““““ />",激活,0000-00-00,0,否,,张亚群,2021/12/2,主干,邓文杰,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,张亚群,2021/12/2,
9200,邦养宝,/养户管理/养户准入评分,养殖项目2.0,,,养户准入评分项由拖动改成点击,,一般,3,页面表现与数据输入校验,,,<img src=““{15709.jpeg}““ alt=““““ />,激活,0000-00-00,0,否,,罗洪浪,2021/12/2,主干,张鹤耀(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,李琳珺,2021/12/2,
9199,邦购销APP,/仔猪采购/外部苗源场背调,养殖项目2.0,,,【外部苗源场背调】重名提交时报“接口错误”,,一般,3,逻辑关系与数据处理,用例内,,"<img src=““{15707.png}““ alt=““““ />



",激活,0000-00-00,0,否,,张亚群,2021/12/2,主干,邱世平(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,李博（金蝶）,2021/12/2,
9196,公共-免疫管理,/免疫计划,养殖项目2.0,,,免疫计划列表界面增加计划项目，计划开始时间和计划结束时间,,一般,3,,,,<img src=““{15703.png}““ alt=““““ />,激活,0000-00-00,0,否,,卢娇玲,2021/12/2,主干,陈琳文(金蝶),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,邹宇,2021/12/2,
9192,育肥-结算管理,/批次对账单,养殖项目2.0,,,【批次对账单】回收金额计算公式调整,,一般,3,需求变更,用例内,221环境,"1、回收金额，均重大于最大基础重计算公式调整，涉及单据：批次对账单、月度对账单、结算单、模拟结算单
<img src=““{15689.png}““ alt=““““ />
2、批次对账单回收金额，按新公式计算
<img src=““{15691.png}““ alt=““““ />

",激活,0000-00-00,0,否,,曾能,2021/12/1,主干,曹建华,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,包权（金蝶）,2021/12/2,
9191,销售-交易管理,/销售单,养殖项目2.0,,,【销售单】列表要显示下批次档案、头数、总重量、实收金额,,一般,3,页面表现与数据输入校验,,,"[步骤]


[结果]


[期望]

",激活,0000-00-00,0,否,,曾能,2021/12/1,主干,胡建明（金蝶）,2021/12/1,,,,0000-00-00,,0000-00-00,0,,,曾能,2021/12/1,
9186,邦养宝,/养户管理/意向养户,养殖项目2.0,,,意向养户交了保证金并审核，生成了供应商档案没有自动审核,,一般,3,页面表现与数据输入校验,,,"<img src=““{15674.png}““ alt=““““ />
<img src=““{15675.jpeg}““ alt=““““ />",激活,0000-00-00,0,否,,罗洪浪,2021/12/1,主干,黄壁生（金蝶）,2021/12/1,,,,0000-00-00,,0000-00-00,0,,,张鹤耀(嘉瑞),2021/12/1,
9185,邦养宝,/,养殖项目2.0,,,APP意向养户，意向金审核之后，苍穹有回写到意向养户意向金额中，邦养宝未回写,,严重,3,页面表现与数据输入校验,,其他环境,"[步骤]


[结果]
<img src=““{15666.png}““ alt=““““ />
<img src=““{15667.png}““ alt=““““ />
[期望]

",激活,0000-00-00,0,否,,林加嘉,2021/12/1,主干,张鹤耀(嘉瑞),2021/12/1,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9184,销售-交易管理,/上市计划,养殖项目2.0,,,【上市计划】查询异常猪，可上市数量有误,,一般,3,页面表现与数据输入校验,用例外,,"[步骤]


[结果]
<img src=““{15665.png}““ alt=““““ />

[期望]

",激活,0000-00-00,0,否,,杨承樑,2021/12/1,主干,邓文杰,2021/12/1,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9174,邦养宝,/首页/首页,养殖项目2.0,,,1、同一用户邦养宝待选组织与苍穹不一致  如 洋河服务部/  2、禁用业务单元邦养宝应控制不让选到,,一般,3,页面控件与业务功能实现,,,"<img src=““{15645.png}““ alt=““““ /> 
[步骤]


[结果]


[期望]

",激活,0000-00-00,0,否,,冯常耀,2021/12/1,主干,许涛泳（金蝶）,2021/12/1,,,,0000-00-00,,0000-00-00,0,,,冯常耀,2021/12/1,
9169,育肥-养户管理,/养户开户,养殖项目2.0,,,【养户开户】问题见图,,一般,3,逻辑关系与数据处理,用例内,221环境,"<img src=““{15634.png}““ alt=““““ />

",激活,0000-00-00,1,是,,曾能,2021/12/1,主干,包权（金蝶）,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,戴齐珍(金蝶),2021/12/2,
9167,公共-保健管理,/保健计划,养殖项目2.0,,,保健计划新增时，必须根据猪只类型选择对应批次档案或配种批次，计划明细要有计划执行日期，审核后直接用于执行,,一般,3,,,,<img src=““{15627.png}““ alt=““““ />,激活,0000-00-00,0,否,,卢娇玲,2021/12/1,主干,陈琳文(金蝶),2021/12/1,,,,0000-00-00,,0000-00-00,0,,,邹宇,2021/12/1,
9166,邦养宝,/生物安全/四区五流,养殖项目2.0,,,已提交的单据详情 照片右上角叉要去除不显示,,一般,3,页面控件与业务功能实现,,,"<img src=““{15625.png}““ alt=““““ /> 
[步骤]


[结果]


[期望]

",激活,0000-00-00,0,否,,冯常耀,2021/12/1,主干,张鹤耀(嘉瑞),2021/12/1,,,,0000-00-00,,0000-00-00,0,,,冯常耀,2021/12/1,
9165,邦养宝,/生物安全/四区五流,养殖项目2.0,,,四区五流照片上传成功不显示图片，要点提交才显示,,一般,3,页面控件与业务功能实现,,,"<img src=““{15618.png}““ alt=““““ /> 
<img src=““{15622.png}““ alt=““““ />[步骤]


[结果]


[期望]

",激活,0000-00-00,0,否,,冯常耀,2021/12/1,主干,张鹤耀(嘉瑞),2021/12/1,,,,0000-00-00,,0000-00-00,0,,,冯常耀,2021/12/1,
9164,邦养宝,/生物安全,养殖项目2.0,,,防非备案无法预览图片,,一般,3,页面控件与业务功能实现,,,"[步骤]


[结果]


[期望]<img src=““{15615.png}““ alt=““““ />

",激活,0000-00-00,0,否,,冯常耀,2021/12/1,主干,张鹤耀(嘉瑞),2021/12/1,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9163,采购-供应商管理,/仔猪供应商—外部苗源场信息填报,养殖项目2.0,,,【外部苗源场信息填报】购销app传递过来的 列表“所在分公司”为空；,,一般,3,页面表现与数据输入校验,,,<img src=““{15616.png}““ alt=““““ />,激活,0000-00-00,0,否,,张亚群,2021/12/1,主干,胡建明（金蝶）,2021/12/1,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9154,邦养宝,/养户管理/养户开户,养殖项目2.0,,,养户开户没有带出邦养宝的猪舍信息，而且还能提交并审核,,一般,3,页面表现与数据输入校验,,,"<img src=““{15598.png}““ alt=““““ />

",激活,0000-00-00,0,否,,罗洪浪,2021/12/1,主干,张鹤耀(嘉瑞),2021/12/1,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
